year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,1,1,Adams,8,Central,Mostly Urban,32.6,71174,45,4,54,326,8,3,6,5,63.2,5.6,75.9,458,11.2,4.2,8.4,7
1982,2,3,Alexander,1,Southern,Mostly Rural,61.9,12056,75,0,32,57,2,1,10,2,622.1,0,265.4,472.8,16.6,8.3,82.9,16.6
1982,3,5,Bond,3,Southern,Mostly Rural,60.7,16132,0,0,2,19,3,0,0,0,0,0,12.4,117.8,18.6,0,0,0
1982,4,7,Boone,17,Northern - Other,Mostly Urban,19.4,29213,7,0,41,102,5,0,0,0,24,0,140.3,349.2,17.1,0,0,0
1982,5,9,Brown,8,Central,Mostly Urban,41.1,5588,0,0,4,9,0,0,0,0,0,0,71.6,161.1,0,0,0,0
1982,6,11,Bureau,13,Central,Mostly Rural,57.4,38790,18,2,22,44,6,0,0,1,46.4,5.2,56.7,113.4,15.5,0,0,2.6
1982,7,13,Calhoun,8,Southern,Completely Rural,100,5739,0,0,3,0,0,0,0,0,0,0,52.3,0,0,0,0,0
1982,8,15,Carroll,15,Northern - Other,Mostly Rural,81.9,18548,7,1,26,32,2,0,1,0,37.7,5.4,140.2,172.5,10.8,0,5.4,0
1982,9,17,Cass,8,Central,Mostly Rural,52.1,14785,4,0,1,22,2,0,1,0,27.1,0,6.8,148.8,13.5,0,6.8,0
1982,10,19,Champaign,6,Central,Mostly Urban,12.7,171586,238,7,254,1152,22,13,49,9,138.7,4.1,148,671.4,12.8,7.6,28.6,5.2
1982,11,21,Christian,4,Central,Mostly Urban,43.5,36279,9,1,30,87,0,2,2,0,24.8,2.8,82.7,239.8,0,5.5,5.5,0
1982,12,23,Clark,5,Southern,Mostly Rural,59.5,17071,17,0,2,21,4,0,0,0,99.6,0,11.7,123,23.4,0,0,0
1982,13,25,Clay,4,Southern,Mostly Rural,64.7,15706,10,0,12,13,4,1,0,0,63.7,0,76.4,82.8,25.5,6.4,0,0
1982,14,27,Clinton,4,Southern,Mostly Urban,48.8,33597,8,1,23,22,1,0,0,1,23.8,3,68.5,65.5,3,0,0,3
1982,15,29,Coles,5,Central,Mostly Urban,24.3,52857,17,0,58,246,11,1,5,0,32.2,0,109.7,465.4,20.8,1.9,9.5,0
1982,16,31,Cook,co,Northern - Cook,Completely Urban,0,5222484,2700,390,10330,49827,4139,1068,6567,870,51.7,7.5,197.8,954.1,79.3,20.5,125.7,16.7
1982,17,33,Crawford,2,Southern,Mostly Rural,60.2,21292,8,1,6,11,0,1,0,0,37.6,4.7,28.2,51.7,0,4.7,0,0
1982,18,35,Cumberland,5,Southern,Completely Rural,100,10966,8,0,2,12,0,0,0,0,73,0,18.2,109.4,0,0,0,0
1982,19,37,DeKalb,23,Northern - Other,Mostly Urban,20.3,74399,26,3,91,281,13,1,9,0,34.9,4,122.3,377.7,17.5,1.3,12.1,0
1982,20,39,De Witt,6,Central,Mostly Urban,48.8,17861,10,0,21,27,3,0,0,0,56,0,117.6,151.2,16.8,0,0,0
1982,21,41,Douglas,6,Central,Mostly Rural,61.6,19793,0,0,6,21,1,0,0,0,0,0,30.3,106.1,5.1,0,0,0
1982,22,43,DuPage,18,Northern - Collar,Completely Urban,0,682289,255,31,546,2286,111,9,78,10,37.4,4.5,80,335,16.3,1.3,11.4,1.5
1982,23,45,Edgar,5,Central,Mostly Rural,51.8,21729,31,1,44,64,4,0,4,0,142.7,4.6,202.5,294.5,18.4,0,18.4,0
1982,24,47,Edwards,2,Southern,Completely Rural,100,8129,3,0,0,14,0,0,0,0,36.9,0,0,172.2,0,0,0,0
1982,25,49,Effingham,4,Southern,Mostly Rural,59.7,31167,15,0,35,88,6,0,9,0,48.1,0,112.3,282.3,19.3,0,28.9,0
1982,26,51,Fayette,4,Southern,Mostly Rural,67,22282,3,0,7,40,4,0,0,1,13.5,0,31.4,179.5,18,0,0,4.5
1982,27,53,Ford,11,Central,Mostly Urban,41.8,15311,3,2,5,10,8,0,6,0,19.6,13.1,32.7,65.3,52.3,0,39.2,0
1982,28,55,Franklin,2,Southern,Mostly Urban,48.6,43561,29,1,50,100,2,1,1,1,66.6,2.3,114.8,229.6,4.6,2.3,2.3,2.3
1982,29,57,Fulton,9,Central,Mostly Rural,60,43107,20,5,60,122,7,0,1,2,46.4,11.6,139.2,283,16.2,0,2.3,4.6
1982,30,59,Gallatin,2,Southern,Completely Rural,100,7719,2,0,1,5,0,0,0,1,25.9,0,13,64.8,0,0,0,13
1982,31,61,Greene,7,Central,Mostly Rural,70.8,16519,3,0,14,32,1,0,0,0,18.2,0,84.8,193.7,6.1,0,0,0
1982,32,63,Grundy,13,Northern - Other,Mostly Urban,24.4,30677,16,1,23,38,9,0,1,0,52.2,3.3,75,123.9,29.3,0,3.3,0
1982,33,65,Hamilton,2,Southern,Mostly Rural,68.1,9271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,34,67,Hancock,9,Central,Mostly Rural,71,23781,6,1,53,40,6,0,6,0,25.2,4.2,222.9,168.2,25.2,0,25.2,0
1982,35,69,Hardin,2,Southern,Completely Rural,100,5388,1,0,7,25,0,0,0,5,18.6,0,129.9,464,0,0,0,92.8
1982,36,71,Henderson,9,Central,Mostly Rural,99.7,8976,1,0,8,3,0,0,0,0,11.1,0,89.1,33.4,0,0,0,0
1982,37,73,Henry,14,Central,Mostly Rural,50.3,56769,7,1,18,101,7,3,1,0,12.3,1.8,31.7,177.9,12.3,5.3,1.8,0
