city_income
"Winnetka – $98,139"
"Kenilworth – $97,381"
"Glencoe – $94,900"
"Inverness – $91,623"
"Barrington Hills – $91,555"
"Lake Forest – $86,004"
"Oak Brook – $81,213"
"North Barrington – $78,326"
"South Barrington – $75,185"
"Highland Park – $68,688"
"Riverwoods – $67,878"
"Wilmette – $67,116"
"Lincolnshire – $67,084"
"Northfield – $65,638"
"Hinsdale – $63,765"
"Lake Barrington – $63,158"
"Long Grove – $62,185"
"Deer Park – $61,429"
"Burr Ridge – $58,518"
"Trout Valley – $58,013"
"Medinah, Illinois – $56,950"
"Wayne, Illinois – $54,990"
"Lake Bluff, Illinois – $54,824"
"Bull Valley, Illinois – $54,022"
"Golf – $52,859"
"Glenview – $52,326"
"Tower Lakes, Illinois – $52,025"
"Kildeer, Illinois – $51,973"
"Leland Grove, Illinois – $51,714"
"Green Oaks, Illinois – $51,066"
"Northbrook, Illinois – $50,765"
"Deerfield, Illinois – $50,664"
"Buffalo Grove, Illinois – $49,696"
"Hawthorn Woods, Illinois – $49,346"
"Olympia Fields, Illinois – $46,698"
"Hanaford, Illinois – $46,500"
"River Forest, Illinois – $46,123"
"Lakewood, Illinois – $44,579"
"Oakbrook Terrace, Illinois – $44,345"
"Naperville, Illinois – $44,235"
"Barrington, Illinois – $43,942"
"Western Springs, Illinois – $43,699"
"Glenview, Illinois  – $43,384"
"Libertyville, Illinois – $43,279"
"Old Mill Creek, Illinois – $43,314"
"Flossmoor, Illinois – $42,820"
"Clarendon Hills, Illinois – $41,859"
"Port Barrington, Illinois – $41,284"
"Indian Head Park, Illinois – $40,094"
"Palos Park, Illinois – $39,861"
"Darien, Illinois – $39,795"
"Glen Ellyn, Illinois – $39,783"
"Topeka, Illinois – $39,651"
"Bannockburn, Illinois – $39,303"
"Willowbrook, Illinois – $37,715"
"Oak Park, Illinois – $36,340"
"Prairie Grove, Illinois – $36,234"
"Park Ridge, Illinois – $36,046"
"Lincolnwood, Illinois – $35,911"
"Seaton, Illinois – $35,832"
"Lisle, Illinois – $35,693"
"Winfield, Illinois – $35,482"
"Wadsworth, Illinois – $35,171"
"Third Lake, Illinois – $34,921"
"La Grange, Illinois – $34,887"
"Riverside, Illinois – $34,712"
"Wheaton, Illinois – $34,147"
"Itasca, Illinois – $34,117"
"Forsyth, Illinois – $34,010"
"St. Charles, Illinois – $33,969"
"Frankfort, Illinois – $33,968"
"Evanston, Illinois – $33,645"
"Arlington Heights, Illinois – $33,544"
"Indian Creek, Illinois – $33,515"
"Willowbrook, Illinois – $33,177"
"Geneva, Illinois – $33,026"
"Palos Heights, Illinois – $32,895"
"Vernon Hills, Illinois – $32,246"
"Elmhurst, Illinois – $32,015"
"Gilberts, Illinois – $31,898"
"East Dundee, Illinois – $31,695"
"Downers Grove, Illinois – $31,580"
"Timberlane, Illinois – $31,529"
"Gurnee, Illinois – $31,517"
"Homer Glen, Illinois – $31,472"
"Sleepy Hollow, Illinois – $31,005"
"Bloomingdale, Illinois – $30,941"
"Grandwood Park, Illinois – $30,912"
"West Dundee, Illinois – $30,674"
"Palatine, Illinois – $30,661"
"Schaumburg, Illinois – $30,587"
"Orland Park, Illinois – $30,467"
"Willow Springs, Illinois – $30,394"
"Sugar Grove, Illinois – $30,299"
"Lake Zurich, Illinois – $30,287"
"La Grange Park, Illinois – $30,247"
"Algonquin, Illinois – $29,820"
"Crete, Illinois – $29,671"
"Bartlett, Illinois – $29,652"
"Westchester, Illinois – $29,634"
"Lily Lake, Illinois – $29,611"
"Warrenville, Illinois – $28,922"
"Grayslake, Illinois – $28,898"
"Fox River Grove, Illinois – $28,870"
"Forest Lake, Illinois – $28,737"
"Elk Grove Village, Illinois – $28,515"
"Roselle, Illinois – $28,501"
"Gages Lake, Illinois – $28,391"
"Lemont, Illinois – $28,354"
"Plainfield, Illinois – $28,242"
"Prospect Heights, Illinois – $28,200"
"Shorewood, Illinois – $28,199"
"Elvaston, Illinois – $27,947"
"Woodridge, Illinois – $27,851"
"Batavia, Illinois – $27,783"
"Channel Lake, Illinois – $27,772"
"Monee, Illinois – $27,687"
"Lombard, Illinois – $27,667"
"Maryville, Illinois – $27,634"
"Johnsburg, Illinois – $27,582"
"Lindenhurst, Illinois – $27,534"
"Sherman, Illinois – $27,491"
"Huntley, Illinois – $27,451"
"Germantown Hills, Illinois – $27,350"
"Fox Lake Hills, Illinois – $27,343"
"Oswego, Illinois – $27,204"
"Lake Summerset, Illinois – $27,160"
"Ringwood, Illinois – $27,137"
"Skokie, Illinois – $27,136"
"Morton Grove, Illinois – $26,973"
"Cary, Illinois – $26,903"
"Rochester, Illinois – $26,881"
"Virgil, Illinois – $26,881"
"Elburn, Illinois – $26,781"
"Columbia, Illinois – $26,767"
"Mokena, Illinois – $26,737"
"Hoffman Estates, Illinois – $26,669"
"Morton, Illinois – $26,531"
"Edwardsville, Illinois – $26,510"
"Mount Prospect, Illinois – $26,464"
"Oakwood Hills, Illinois – $26,397"
"Westmont, Illinois – $26,394"
"Glen Carbon, Illinois – $26,374"
"Wauconda, Illinois – $26,355"
"Mundelein, Illinois – $26,280"
"Lake in the Hills, Illinois – $26,239"
"Lake Villa, Illinois – $26,238"
"Seatonville, Illinois – $26,197"
"Rolling Meadows, Illinois – $26,178"
"Crystal Lake, Illinois – $26,146"
"Bishop Hill, Illinois – $26,145"
"Homewood, Illinois – $26,074"
"Minooka, Illinois – $26,054"
"Forest Park, Illinois – $26,045"
"Savoy, Illinois – $25,949"
"Antioch, Illinois – $25,711"
"South Elgin, Illinois – $25,676"
"Swansea, Illinois – $25,634"
"North Aurora, Illinois – $25,552"
"Shiloh, Illinois – $25,550"
"Wood Dale, Illinois – $25,507"
"Spring Grove, Illinois – $25,506"
"Countryside, Illinois – $25,449"
"Burlington, Illinois – $25,349"
"Palos Hills, Illinois – $25,331"
"Roscoe, Illinois – $25,324"
"Godfrey, Illinois – $25,292"
"Tinley Park, Illinois – $25,207"
"New Lenox, Illinois – $25,161"
"Carol Stream, Illinois – $25,152"
"Hopewell, Illinois – $25,143"
"Matteson, Illinois – $25,024"
"McCook, Illinois – $24,996"
"Wheeling, Illinois – $24,989"
