Date,ConfirmedGrowth,Confirmed,Tests,Hospitalized,Deaths,PositivePct,Geography,ID Geography,ID State,State,ID Year,Year,Population,Slug State,ConfirmedPC,DeathsPC,TestsPC,HospitalizedPC,ConfirmedGrowthPC,ConfirmedSmooth,ConfirmedPCSmooth,DeathsSmooth,DeathsPCSmooth,TestsSmooth,TestsPCSmooth,HospitalizedSmooth,HospitalizedPCSmooth,ConfirmedGrowthSmooth,ConfirmedGrowthPCSmooth,Timestamp
3-Mar,,4,155,0,0,2.580645161,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.031394513,0,1.216537374,,,8.875,0.069656575,0,0,243.5,1.911140971,0,0,1.875,0.014716178,1.58328E+12
4-Mar,1,5,197,0,0,2.538071066,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.039243141,0,1.546179759,,0.007848628,10.66666667,0.083718701,0,0,257.2222222,2.018841591,0,0,2.333333333,0.018313466,1.58337E+12
5-Mar,0,5,220,0,0,2.272727273,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.039243141,0,1.726698208,,,12.8,0.100462441,0,0,273.3,2.145030092,0,0,2.8,0.021976159,1.58345E+12
6-Mar,1,6,241,0,0,2.489626556,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.047091769,0,1.8915194,,0.007848628,15.81818182,0.124151028,0,0,288.8181818,2.266826531,0,0,3.818181818,0.02996749,1.58354E+12
7-Mar,0,6,241,0,0,2.489626556,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.047091769,0,1.8915194,,,19.83333333,0.15566446,0,0,323.75,2.540993385,0,0,5,0.039243141,1.58363E+12
8-Mar,1,7,242,0,0,2.892561983,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.054940398,0,1.899368028,,0.007848628,25.46153846,0.199838149,0,0,377.6923077,2.964366503,0,0,6.846153846,0.053732916,1.58371E+12
9-Mar,12,19,326,0,0,5.828220859,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.149123936,0,2.558652799,,0.094183539,35,0.274701988,0.071428571,0.000560616,457.7857143,3.592989874,0,0,11.07142857,0.086895527,1.5838E+12
10-Mar,0,19,326,0,0,5.828220859,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.149123936,0,2.558652799,,,51.86666667,0.407082184,0.133333333,0.001046484,564,4.426626314,0,0,18.93333333,0.148600694,1.58388E+12
11-Mar,6,25,367,0,0,6.811989101,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.196215705,0,2.880446556,,0.047091769,79.73333333,0.62579729,0.4,0.003139451,763.4666667,5.992166023,0,0,27.86666667,0.218715106,1.58397E+12
12-Mar,7,32,418,0,0,7.655502392,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.251156103,0,3.280726595,,0.054940398,118.4,0.929277581,0.733333333,0.005755661,1035.733333,8.129085865,0,0,38.66666667,0.303480291,1.58406E+12
13-Mar,14,46,444,0,0,10.36036036,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.361036898,0,3.484790928,,0.109880795,168.2666667,1.320662508,1.133333333,0.008895112,1437.133333,11.27952523,0,0,49.86666667,0.391384927,1.58414E+12
14-Mar,18,64,708,0,0,9.039548023,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.502312206,0,5.556828777,,0.141275308,237.8,1.86640379,1.733333333,0.013604289,1975.733333,15.50679639,0,0,69.53333333,0.545741282,1.58423E+12
15-Mar,29,93,1025,0,0,9.073170732,Illinois,04000US17,04000US17,Illinois,2018,2018,12741080,illinois,0.729922424,0,8.044843922,,0.227610218,322.2666667,2.529351253,2.533333333,0.019883191,2616.733333,20.53776708,0,0,84.46666667,0.662947463,1.58432E+12
