Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Chicago, IL",41.8755616,-87.6244212,Auditorium Theatre,41.87605807115569,-87.62530297973589,Theater
"Chicago, IL",41.8755616,-87.6244212,Cafecito,41.87572380188488,-87.62638570202324,Cuban Restaurant
"Chicago, IL",41.8755616,-87.6244212,Osaka Sushi Express & Fresh Fruit Smoothies,41.876968875443474,-87.62453389220651,Sushi Restaurant
"Chicago, IL",41.8755616,-87.6244212,Hostelling International Chicago,41.875757281650046,-87.6265365883164,Hostel
"Chicago, IL",41.8755616,-87.6244212,Dunkin',41.87676756145688,-87.62457519753178,Donut Shop
"Chicago, IL",41.8755616,-87.6244212,SummerDance,41.87380378248589,-87.62333525297535,Dance Studio
"Chicago, IL",41.8755616,-87.6244212,Selected Works Used Books & Sheet Music,41.876529265133584,-87.62434782187758,Bookstore
"Chicago, IL",41.8755616,-87.6244212,Fontano's Pizza and Subs,41.877156696359314,-87.62434778730506,Pizza Place
"Chicago, IL",41.8755616,-87.6244212,Room Escape Adventures - Trapped In A Room With A Zombie,41.876687468742325,-87.62436186024313,Escape Room
"Chicago, IL",41.8755616,-87.6244212,Warehouse Liquors,41.87337477294143,-87.62603320338408,Liquor Store
"Chicago, IL",41.8755616,-87.6244212,Auditorium Building,41.8758584524488,-87.62456456488142,Concert Hall
"Chicago, IL",41.8755616,-87.6244212,Buddy Guy's Legends,41.87303431768606,-87.62613544504586,Music Venue
"Chicago, IL",41.8755616,-87.6244212,Congress Plaza,41.87568444702974,-87.6240152256319,Plaza
"Chicago, IL",41.8755616,-87.6244212,Chicago Architecture Foundation,41.878556492385385,-87.62455021572826,Museum
"Chicago, IL",41.8755616,-87.6244212,The South Garden,41.87862583230066,-87.62420653764168,Garden
"Chicago, IL",41.8755616,-87.6244212,Luna Cafe Restaurant,41.874670691907355,-87.62552529638134,Restaurant
"Chicago, IL",41.8755616,-87.6244212,Harold's Chicken Shack,41.873954,-87.626081,Fried Chicken Joint
"Chicago, IL",41.8755616,-87.6244212,Museum of Contemporary Photography,41.874381627590104,-87.62452359707625,Art Museum
"Chicago, IL",41.8755616,-87.6244212,Himalayan Restaurant,41.8741292184772,-87.62606358943373,Indian Restaurant
"Chicago, IL",41.8755616,-87.6244212,Just Salad,41.878225866294365,-87.62677882672304,Salad Place
"Chicago, IL",41.8755616,-87.6244212,Symphony Center (Chicago Symphony Orchestra),41.87927535633318,-87.62468041570357,Concert Hall
"Chicago, IL",41.8755616,-87.6244212,Mercat a la Planxa,41.873212009842334,-87.62448108575718,Tapas Restaurant
"Chicago, IL",41.8755616,-87.6244212,Shamrock Shuffle Start Line & Corrals,41.87626229827635,-87.62123867560952,Trail
"Chicago, IL",41.8755616,-87.6244212,Clarence Buckingham Memorial Fountain,41.87593901708365,-87.61932969966523,Fountain
"Chicago, IL",41.8755616,-87.6244212,Supercuts,41.877529664513474,-87.62439223520944,Salon / Barbershop
"Chicago, IL",41.8755616,-87.6244212,Grant Park,41.8766257847394,-87.61926269478862,Park
"Chicago, IL",41.8755616,-87.6244212,The Blackstone Hotel,41.8733507,-87.6244633,Hotel
"Chicago, IL",41.8755616,-87.6244212,Hilton Chicago Athletic Club,41.87263819387745,-87.62554322029,Gym / Fitness Center
"Chicago, IL",41.8755616,-87.6244212,Original Sears Tower,41.875306562974295,-87.62922080243301,Building
"Chicago, IL",41.8755616,-87.6244212,Dollop Coffee & Tea,41.87692470762472,-87.62886354493715,Coffee Shop
"Chicago, IL",41.8755616,-87.6244212,Fine Arts Building,41.87651061774205,-87.62423360643619,General Entertainment
"Chicago, IL",41.8755616,-87.6244212,The Art Institute of Chicago,41.87968946580023,-87.62325843965061,Art Museum
"Chicago, IL",41.8755616,-87.6244212,Vivi Bubble Tea,41.877247373043566,-87.62787389592772,Bubble Tea Shop
"Chicago, IL",41.8755616,-87.6244212,Blaze Pizza,41.875233235628734,-87.62746801806279,Pizza Place
"Chicago, IL",41.8755616,-87.6244212,North President's Court (Abraham Lincoln Statue),41.87723417074644,-87.62152259793538,Monument / Landmark
"Chicago, IL",41.8755616,-87.6244212,Hero Coffee Bar,41.875715587419926,-87.62910922102952,Coffee Shop
"Chicago, IL",41.8755616,-87.6244212,Epic Burger,41.87500248306446,-87.62752457076368,Burger Joint
"Chicago, IL",41.8755616,-87.6244212,Hilton,41.8726937,-87.6247328,Hotel
"Chicago, IL",41.8755616,-87.6244212,Hero Coffee Bar,41.87825675151832,-87.62671392873476,Coffee Shop
"Chicago, IL",41.8755616,-87.6244212,Kasey's Tavern,41.87331679994802,-87.62928390127831,Pub
"Chicago, IL",41.8755616,-87.6244212,Meli Cafe,41.87554611111292,-87.62942015891375,American Restaurant
"Chicago, IL",41.8755616,-87.6244212,Beezzee,41.87614287327688,-87.62601574764521,Vegetarian / Vegan Restaurant
"Chicago, IL",41.8755616,-87.6244212,Thorne Miniature Rooms,41.87953234792995,-87.62368003134884,Museum
"Chicago, IL",41.8755616,-87.6244212,Garrett Popcorn Shops,41.878174543159915,-87.6288823334721,Snack Place
"Chicago, IL",41.8755616,-87.6244212,Beatrix Market,41.87822260477635,-87.62686267271188,Market
"Chicago, IL",41.8755616,-87.6244212,Brightwok Kitchen,41.879576342420535,-87.62646800658842,Asian Restaurant
"Chicago, IL",41.8755616,-87.6244212,Kilwins,41.877877994278116,-87.62439415492437,Ice Cream Shop
"Chicago, IL",41.8755616,-87.6244212,Jugrnaut,41.87604753777367,-87.62949979118531,Boutique
