city_name,population
"Abingdon, IL","3,226"
"Adair, IL",210
Addieville,243
"Addison, IL","37,297"
"Albany, IL",883
Albers,"1,180"
"Albion, IL","1,957"
"Aledo, IL","3,588"
Alexis,818
"Algonquin, IL","30,410"
"Alhambra, IL",665
"Allendale, IL",461
"Allerton, IL",289
"Alma, IL",316
Alorton,"1,954"
"Alpha, IL",652
Alsey,222
Alsip,"19,427"
"Altamont, IL","2,304"
Alto Pass,383
"Altona, IL",517
"Alton, IL","27,177"
Alvan,266
"Alvin, IL",305
"Amboy, IL","2,383"
"Andalusia, IL","1,183"
"Andover, IL",574
Annawan,861
"Anna, IL","4,331"
"Antioch, IL","14,411"
Apple Canyon Lake,558
"Apple River, IL",358
"Arcola, IL","2,893"
Arenzville,398
Argenta,924
"Arlington Heights, IL","76,024"
Armington,340
Aroma Park,719
Arrowsmith,295
"Arthur, IL","2,281"
Ashkum,744
"Ashland, IL","1,289"
"Ashley, IL",511
Ashmore,771
"Ashton, IL",927
Assumption,"1,128"
"Astoria, IL","1,100"
"Athens, IL","1,960"
"Atkinson, IL",953
"Atlanta, IL","1,663"
"Atwood, IL","1,199"
"Auburn, IL","4,815"
"Augusta, IL",566
"Aurora, IL","200,456"
"Ava, IL",639
Aviston,"2,073"
"Avon, IL",767
"Baldwin, IL",353
Bannockburn,"1,575"
Bardolph,245
Barrington Hills,"4,259"
"Barrington, IL","10,373"
"Barry, IL","1,280"
Bartelso,598
"Bartlett, IL","41,632"
"Bartonville, IL","6,423"
"Batavia, IL","26,424"
Batchtown,208
"Bath, IL",310
Bay View Gardens,392
Beach Park,"13,988"
Beardstown,"5,882"
Beaverville,347
Beckemeyer,"1,019"
Bedford Park,576
Beecher City,456
"Beecher, IL","4,461"
"Belgium, IL",402
Belle Rive,361
"Belleville, IL","42,529"
"Bellevue, IL","1,963"
"Bellflower, IL",353
"Bellmont, IL",269
"Bellwood, IL","19,152"
"Belvidere, IL","25,282"
Bement,"1,692"
Benld,"1,503"
Bensenville,"18,487"
"Benson, IL",428
"Benton, IL","7,016"
"Berkeley, IL","5,230"
"Berwyn, IL","56,693"
Bethalto,"9,382"
"Bethany, IL","1,322"
Big Rock,"1,160"
Biggsville,287
"Bismarck, IL",560
Blandinsville,628
"Bloomingdale, IL","22,299"
"Bloomington, IL","78,730"
