name,categories,lat,lng
Coffeessions,Coffee Shop,42.12386,-87.92831
Ridgefield Homes,Housing Development,42.122643956218745,-87.92747095985423
Rammy's Sub Contractors,Sandwich Place,42.12366141512818,-87.92809363377152
Frankenstitch Promotions LLC,Print Shop,42.1246568,-87.9298948
U.S. Bank Branch,Bank,42.123806,-87.927444
Metro by T-Mobile,Mobile Phone Shop,42.12306288612548,-87.93625129766349
Munch's Supply,Hardware Store,42.12014319476692,-87.92324971609945
Segerdahl Group,Office,42.114305,-87.925606
Best value Food mart,Grocery Store,42.123599,-87.92825699999999
Polo Run,Housing Development,42.11558077022944,-87.93113200112327
"A.B. Edward Enterprises - Roofing, Siding, WIndows, Gutters, Masonry.",Construction & Landscaping,41.81587702,-87.92481764
Papa John's Pizza,Pizza Place,42.123643381049824,-87.93621343497028
Los Posadas,Mexican Restaurant,42.12368435302564,-87.93668094283868
Lakeshore Academy-Glenview,General College & University,42.05677795410156,-87.82276916503906
Subway,Sandwich Place,42.1235403,-87.9360747
Family Video,Miscellaneous Shop,42.12457184062095,-87.9362474841999
Fields Jeeps,Automotive Shop,42.134662,-87.92797
ARC Performance,Gym,42.128434000000006,-87.928438
Dunkin',Donut Shop,42.12340630466969,-87.93730626291057
Pactiv,,42.126247,-87.924912
Nuevo Camino,Event Space,42.13189798937948,-87.9292456461431
U.S. Bank ATM,ATM,42.12361550902554,-87.92749849863584
Sing Kee Chinese,Chinese Restaurant,42.123599,-87.92825699999999
Simmons Engineering,Office,42.118685,-87.923034
ACR,Office,42.125729,-87.929988
Lisas Hair Salon,Health & Beauty Service,42.12433,-87.93595
American Drilling,Office,42.12825,-87.917777
Lexington Healthcare and Rehabilitation,Doctor's Office,42.124769064155124,-87.9352539361231
Wheeling Public Works,Government Building,42.122163,-87.917728
national tool,Factory,42.1293288470791,-87.92614782948895
The Baking Institute,,42.128890000000006,-87.9217
M-D Building Material Company,Warehouse,42.12511251355488,-87.93044722737972
The Swim Team Store,Sporting Goods Shop,42.127155,-87.931247
Sleek Hair,Salon / Barbershop,42.123599,-87.92825699999999
Durable packaging international,,42.116432862836824,-87.92405057665815
Golden Stone,Design Studio,42.12427,-87.91845
Colonial Cleaners,Dry Cleaner,42.124665,-87.927091
bertog Landscape,Office,42.12744903564453,-87.92577362060547
New Canton Chop Suey,Chinese Restaurant,42.123363,-87.936231
Block & Company,Office,42.12075038516088,-87.92646863345597
Valspar,Research Laboratory,42.119988,-87.922968
Wheeling Animal Hospital & Pet Resort,Hospital,42.12941670739404,-87.93725536818016
Champo Sports,Factory,42.11892,-87.924907
Champro Sports,Professional & Other Places,42.119147999999996,-87.92499000000001
